run_id,lr,optimizer,num_filters,dropout,batch_norm,pooling,best_val_acc,val_epoch,train_acc_at_best_val,test_acc,test_precision,test_recall,test_f1
nb-7_bn-True_opt-AdamW_pool-none_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,none,0.8738417676407698,40,0.9181510509440683,0.8793333333333333,0.8812497421638344,0.8803053872063918,0.8806161504965524
nb-7_bn-True_opt-AdamW_pool-max_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,max,0.8200285103349965,10,0.8391521197007481,0.806,0.8330325705546149,0.812095293626211,0.8055637648707927
nb-7_bn-True_opt-AdamW_pool-avg_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,avg,0.8806129722024234,44,0.9334698966868543,0.8776666666666667,0.8790347727885418,0.8787676876356373,0.8787515343355298
nb-7_bn-True_opt-AdamW_pool-none_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,none,0.8713471133285816,33,0.9120947630922693,0.8756666666666667,0.8791226349819518,0.8762369731587708,0.8765119888828995
nb-7_bn-True_opt-AdamW_pool-max_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,max,0.8285816108339273,11,0.8373708585678661,0.7796666666666666,0.8031219345617443,0.7890518418833139,0.7783391146132034
nb-7_bn-True_opt-AdamW_pool-avg_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,avg,0.8788310762651461,29,0.9053259707873175,0.8663333333333333,0.8728213640853664,0.8663029159292602,0.8669074618865152
