run_id,lr,optimizer,num_filters,dropout,batch_norm,pooling,best_val_acc,val_epoch,train_acc_at_best_val,test_acc,test_precision,test_recall,test_f1
nb-7_bn-True_opt-AdamW_pool-none_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,none,0.7804704205274412,4,0.7729782686141788,0.7753333333333333,0.8089547921256447,0.7841581096951807,0.7665783787419387
nb-7_bn-True_opt-AdamW_pool-max_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,max,0.9069850320741268,27,0.972568578553616,0.907,0.9089700475891788,0.9090926962597967,0.9082213899537669
nb-7_bn-True_opt-AdamW_pool-avg_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,avg,0.895224518888097,20,0.9211791948699679,0.8893333333333333,0.8942443244806211,0.8901636796782122,0.8915823473783379
nb-7_bn-True_opt-AdamW_pool-none_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,none,0.8913043478260869,17,0.9001603135019594,0.8863333333333333,0.890634874681299,0.8857859064630351,0.8859757554354414
nb-7_bn-True_opt-AdamW_pool-max_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,max,0.83464005702067,4,0.8317598859992875,0.7603333333333333,0.8155059535684385,0.7722580051490217,0.761627969510822
nb-7_bn-True_opt-AdamW_pool-avg_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,avg,0.909479686386315,22,0.9346277164232276,0.8986666666666666,0.9028424808967904,0.8999079863651906,0.9008053984668237
