run_id,lr,optimizer,num_filters,dropout,batch_norm,pooling,best_val_acc,val_epoch,train_acc_at_best_val,test_acc,test_precision,test_recall,test_f1
nb-7_bn-True_opt-AdamW_pool-none_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,none,0.8852459016393442,14,0.9110260064125401,0.8876666666666667,0.8917880077818993,0.8917710515453932,0.888889631090017
nb-7_bn-True_opt-AdamW_pool-max_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,max,0.9109052031361369,19,0.9831670822942643,0.8953333333333333,0.8983088578427488,0.8976179000826962,0.8971725376767155
nb-7_bn-True_opt-AdamW_pool-avg_dr-0.0,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.0,True,avg,0.8364219529579473,4,0.8286426790167438,0.8186666666666667,0.8395735092793365,0.8200858196946065,0.8206503102325203
nb-7_bn-True_opt-AdamW_pool-none_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,none,0.9087669280114041,24,0.9464731029568935,0.904,0.9067279773043667,0.904127172669542,0.904644231467678
nb-7_bn-True_opt-AdamW_pool-max_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,max,0.8642195295794726,7,0.8779836123975775,0.868,0.8739300720352093,0.8691880945411442,0.8683286123697659
nb-7_bn-True_opt-AdamW_pool-avg_dr-0.2,0.001,AdamW,"[32, 64, 128, 256, 128, 64, 32]",0.2,True,avg,0.9073414112615823,27,0.9817420733879587,0.9063333333333333,0.9077619926705051,0.9078356065717879,0.9077028623042284
